Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
298,8,8,4,3,5,3,0,0,10,5,1,0,5,2,One Plus,Online,I do not consume soft drinks at all,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in South,Student
299,8,9,5,6,6,2,1,8,8,7,5,5,5,9,Xiaomi,Retail,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Hyderabad,Student
300,7,5,7,2,0,0,5,5,0,0,0,0,5,9,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
301,5,9,7,8,8,8,6,6,8,9,10,5,10,5,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Male,Other towns in South,Student
302,8,5,10,10,9,7,8,8,10,10,2,2,9,8,Others,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Working Executive
303,5,9,3,3,10,1,8,5,2,7,8,2,5,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
304,6,6,5,6,6,3,1,5,5,5,5,2,5,5,Others,Retail,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
305,8,7,8,4,10,6,3,7,2,5,2,1,8,4,One Plus,Online,Cola,Never,Never,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
306,8,8,7,2,8,8,2,2,8,7,8,3,2,0,Xiaomi,Online,I do not consume soft drinks at all,Never,Never,Never,Never,Newspaper,Online,24-28,Male,Mumbai,Student
307,3,5,4,5,1,9,7,8,8,10,3,8,5,2,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
308,2,4,9,7,5,1,10,8,6,10,0,7,10,10,One Plus,Online,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
309,9,8,7,6,8,3,8,8,8,9,2,7,3,6,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
310,4,8,8,5,2,4,0,0,6,8,8,0,4,5,Xiaomi,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,24-28,Male,Kolkata,Student
311,8,6,3,8,9,9,10,10,7,3,3,4,8,2,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
312,8,8,5,3,7,4,5,2,8,7,3,2,4,8,Others,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
313,4,3,6,4,4,0,8,3,7,8,3,2,2,5,Vivo,Retail,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
314,6,9,5,7,8,1,7,8,3,8,3,8,2,5,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
315,8,8,10,8,5,3,7,10,10,10,7,10,10,5,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
316,3,6,6,7,6,2,7,8,5,5,4,7,7,7,Vivo,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
317,7,8,5,4,9,2,7,5,7,9,3,6,6,7,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
318,3,9,7,8,7,3,7,7,8,8,6,6,6,9,Apple,Retail,Cola,Less Often,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
319,1,4,5,3,5,2,9,6,3,10,5,9,7,6,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
320,7,8,6,5,5,6,7,5,4,9,7,6,9,4,One Plus,Online,Fruit flavour,Less Often,Everyday,Everyday,Never,Online,Retail Stores,29-33,Male,Delhi,Student
321,9,7,9,6,8,7,4,3,5,6,2,2,9,4,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Delhi,Student
322,5,7,6,5,9,6,3,4,8,8,5,6,6,5,Xiaomi,Online,Cola,Never,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
323,4,6,8,5,1,1,8,6,1,9,5,0,1,8,Oppo,Retail,Cola,Everyday,Less Often,Less Often,Less Often,Online,Online,18-23,Female,Mumbai,Student
324,1,8,4,3,9,2,8,1,5,9,2,2,6,6,One Plus,Online,Cola,Less Often,Never,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
325,8,5,5,5,7,3,8,7,9,9,8,2,2,10,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Mumbai,Student
326,9,9,9,5,9,6,7,4,7,9,9,6,8,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Less Often,Never,Online,Online,24-28,Female,Other towns in West,Student
327,8,8,6,9,2,10,3,6,7,9,3,3,7,4,Xiaomi,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
328,7,8,9,10,10,7,8,7,5,9,4,5,9,5,One Plus,Online,Cola,Never,Never,Everyday,Less Often,Newspaper,Online,18-23,Male,Other towns in West,Student
329,1,10,6,10,10,6,10,6,10,5,4,5,10,1,Apple,Online,Fruit flavour,Everyday,Never,Everyday,Everyday,Online,Online,24-28,Male,Other towns in North,Student
330,7,10,1,8,5,7,4,8,7,8,3,5,8,2,Oppo,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
331,3,9,6,4,9,0,9,4,5,10,3,8,3,10,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Student
332,1,4,5,1,9,4,5,6,2,9,4,1,2,5,Others,Online,Orange,Never,Less Often,Everyday,Never,Online,Online,24-28,Male,Other towns in West,Student
333,8,2,8,8,5,0,8,6,10,10,3,7,10,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in West,Student
334,8,9,9,5,10,4,8,6,9,10,4,7,4,3,One Plus,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
335,4,2,4,5,5,4,2,6,8,3,6,3,2,8,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in South,Student
336,7,9,5,5,5,4,4,3,5,5,3,2,0,4,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
337,4,9,9,9,9,1,7,3,8,9,9,8,9,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Retail Stores,24-28,Male,Delhi,Student
338,7,9,8,5,5,2,6,6,4,8,2,3,1,10,Xiaomi,Online,Fruit flavour,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
339,8,6,8,9,7,7,6,6,6,6,6,6,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
340,8,10,8,8,8,6,3,0,5,8,8,3,5,7,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
341,7,9,6,5,3,7,2,7,10,10,3,3,6,3,One Plus,Online,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
342,3,8,6,1,1,5,8,7,7,5,8,6,3,8,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
343,3,7,7,6,8,10,8,1,7,9,8,8,7,0,Others,Online,Fruit flavour,Never,Never,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
344,1,9,7,2,5,0,10,1,10,10,5,10,9,3,One Plus,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Chennai,Student
345,4,8,8,7,10,5,10,9,0,7,5,7,9,0,Apple,Retail,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
346,7,8,6,5,4,0,1,4,3,5,1,1,3,9,One Plus,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
347,6,5,4,4,6,1,8,5,6,4,5,4,7,5,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
348,6,6,6,7,8,7,7,3,7,8,5,4,3,5,Apple,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
349,9,8,7,4,5,2,4,4,6,8,4,3,3,5,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Bangalore,Student
350,7,9,3,4,8,4,7,7,8,8,7,6,4,5,Apple,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
351,7,8,6,3,8,2,4,6,4,8,4,9,3,9,Xiaomi,Online,Orange,Never,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
352,10,5,10,5,0,0,6,5,10,5,5,0,7,4,Apple,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Self Employed/business
353,4,9,6,5,6,3,6,8,7,7,9,9,3,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
354,4,8,6,10,10,5,3,7,2,2,2,6,7,8,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
355,4,10,8,5,3,3,8,3,10,10,10,3,9,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
356,4,8,1,5,3,6,8,8,0,7,3,2,6,4,Samsung,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
357,0,10,8,6,0,10,7,8,3,10,10,7,0,5,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
358,6,8,5,8,6,8,7,7,6,5,4,7,8,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
359,7,7,9,6,10,10,9,6,4,10,8,8,7,4,Apple,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
360,7,9,9,7,10,2,2,9,9,5,7,3,5,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
361,10,8,5,10,10,4,7,10,10,5,10,2,4,5,Xiaomi,Online,Orange,Less Often,Never,Less Often,Never,Online,Retail Stores,24-28,Male,Mumbai,Student
362,8,9,6,7,3,4,2,4,8,9,8,2,1,10,Samsung,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
363,4,9,8,9,1,3,9,8,5,8,4,7,5,8,Others,Online,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
364,7,9,8,4,7,8,9,9,6,8,5,7,9,4,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
365,8,9,9,9,8,8,9,8,8,8,8,9,9,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Other towns in North,Student
366,2,10,4,4,10,6,10,3,0,10,4,10,9,8,Others,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
367,2,8,2,9,9,5,2,8,1,9,1,7,4,3,One Plus,Online,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
368,4,7,3,5,9,2,3,6,5,8,3,3,1,9,One Plus,Retail,Cola,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
369,7,9,7,5,8,5,3,8,5,8,5,3,5,5,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
370,5,8,5,7,8,2,4,2,8,8,5,2,4,8,One Plus,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
371,10,6,9,3,0,8,2,2,1,10,5,0,5,5,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
372,5,8,3,3,10,1,6,10,10,7,1,9,10,10,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in East,Student
373,2,9,6,7,3,2,9,0,9,9,2,1,6,8,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Kolkata,Student
374,10,10,5,8,10,10,0,10,5,5,0,0,0,0,Samsung,Second hand mobile sources,Cola,Never,Never,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
375,9,10,9,5,3,3,3,6,8,10,8,8,7,9,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in East,Student
376,9,9,3,5,4,0,8,3,8,5,5,0,0,5,Xiaomi,Online,White/Colourless,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
377,8,9,6,8,10,7,10,2,8,9,2,2,8,5,Samsung,Online,White/Colourless,Less Often,Less Often,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Mumbai,Student
378,10,10,8,8,10,10,7,6,5,10,8,3,5,5,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
379,4,7,8,9,8,4,8,7,5,8,8,8,7,7,Apple,Retail,Cola,Everyday,Less Often,Everyday,Never,Newspaper,Retail Stores,18-23,Male,Other towns in South,Student
380,3,9,2,10,3,9,10,8,1,9,0,1,1,2,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
381,8,10,9,7,7,8,3,9,9,10,4,6,6,7,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
382,5,4,10,10,0,9,6,10,0,10,0,10,10,0,Apple,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Delhi,Student
383,6,9,10,3,5,8,7,0,3,10,6,7,3,7,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
384,8,8,4,7,7,3,1,4,1,8,2,6,6,9,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
385,4,9,7,7,2,6,9,4,8,8,2,8,7,2,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Female,Kolkata,Student
386,5,5,7,9,9,5,2,5,9,6,1,4,9,2,Apple,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
387,7,7,9,7,10,7,8,4,2,9,6,5,8,0,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in North,Student
388,3,7,7,8,7,2,0,0,8,10,2,7,0,10,Others,Online,Orange,Less Often,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in North,Student
389,1,8,2,9,10,1,6,7,7,9,5,4,7,7,Others,Online,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
390,5,7,7,5,5,8,7,0,8,5,2,1,4,0,Others,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Newspaper,Retail Stores,24-28,Female,Mumbai,Student
391,5,7,9,8,10,3,7,8,1,0,2,8,8,8,One Plus,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
392,3,4,4,7,9,2,9,9,2,8,3,8,9,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
393,4,3,6,0,1,0,4,7,9,3,2,7,8,10,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
394,4,9,3,0,8,0,7,5,9,9,0,2,1,5,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Newspaper,Retail Stores,18-23,Female,Other towns in South,Student
395,5,3,9,10,10,10,6,8,5,6,3,4,7,1,Others,Retail,Fruit flavour,Less Often,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Hyderabad,Student
396,8,9,4,4,5,6,2,8,8,8,5,6,3,4,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
397,4,7,5,6,9,4,7,4,8,8,3,7,4,7,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
398,8,9,7,5,9,5,6,3,1,7,2,8,7,1,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Newspaper,Online,24-28,Male,Other towns in West,Student
399,8,8,6,7,3,5,3,5,9,9,5,8,5,7,Samsung,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in North,Student
400,4,8,5,8,9,3,5,2,9,8,3,10,7,9,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in East,Student
401,6,7,4,6,10,1,6,5,5,10,4,5,5,7,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
402,3,7,2,6,9,6,5,8,7,7,4,6,7,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Online,24-28,Male,Other towns in East,Student
403,6,10,4,2,3,1,9,1,10,6,5,8,6,10,Others,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
404,2,6,1,5,7,2,1,3,9,8,2,8,5,9,Apple,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
405,1,8,5,2,1,3,1,2,9,7,2,7,2,3,Xiaomi,Online,Orange,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Kolkata,Student
406,7,9,7,6,8,3,6,3,6,6,5,4,3,6,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
407,8,8,8,8,10,10,7,2,4,9,2,3,3,5,Samsung,Retail,Cola,Less Often,Never,Never,Never,Newspaper,Retail Stores,18-23,Male,Kolkata,Student
408,4,7,9,2,2,8,10,8,6,5,2,10,10,5,One Plus,Online,Cola,Never,Less Often,Less Often,Everyday,Online,Retail Stores,18-23,Female,Other towns in South,Student
409,3,9,5,2,8,4,9,1,5,7,6,3,0,10,Others,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Online,18-23,Male,Hyderabad,Student
410,9,8,4,6,9,6,0,6,8,8,5,6,6,3,Others,Retail,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
411,4,10,7,8,4,4,8,5,4,8,5,6,3,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
412,1,2,2,5,9,4,9,3,5,5,2,0,10,9,Others,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in North,Student
413,9,9,9,9,10,8,9,9,8,8,8,9,8,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
414,2,10,4,8,10,2,3,10,7,9,2,8,8,0,Xiaomi,Online,Cola,Never,Never,Less Often,Less Often,Online,Online,18-23,Male,Other towns in North,Student
415,7,5,5,1,3,0,6,7,10,10,10,10,9,10,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
416,2,8,7,5,9,0,8,8,5,8,5,8,7,5,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Delhi,Student
417,8,10,10,7,10,7,10,10,10,10,5,10,7,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
418,6,7,7,7,0,6,0,5,8,4,0,0,8,0,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
419,7,6,6,5,7,7,3,7,5,9,7,4,5,2,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
420,1,7,4,5,3,2,10,7,5,6,4,3,4,4,One Plus,Second hand mobile sources,Cola,Never,Never,Less Often,Everyday,Online,Online,24-28,Female,Other towns in North,Student
421,5,5,5,5,5,8,4,5,4,4,4,7,6,4,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
422,8,8,2,4,9,9,4,6,5,8,7,8,4,8,Others,Online,Cola,Never,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
423,7,9,4,8,2,6,4,9,8,10,5,8,8,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
424,6,9,1,7,10,4,10,6,10,10,7,4,6,7,Xiaomi,Retail,White/Colourless,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
425,4,9,7,3,4,6,8,5,9,10,6,5,2,8,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
426,5,8,4,10,9,4,6,2,8,10,10,4,3,10,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
427,3,7,6,6,9,8,8,7,5,6,1,4,5,5,Others,Online,Cola,Never,Everyday,Never,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
428,8,9,7,4,6,9,3,4,6,10,4,7,5,4,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
429,5,8,7,6,6,3,7,5,10,9,3,8,4,5,Apple,Retail,Orange,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
430,8,7,7,9,8,5,9,9,7,8,9,6,7,7,Xiaomi,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
431,5,10,3,10,10,5,7,7,10,8,2,5,7,2,One Plus,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
432,4,9,1,9,10,4,8,8,10,9,1,1,3,2,Apple,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
433,9,8,5,5,4,9,2,6,5,3,2,6,6,5,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
434,8,7,8,5,9,5,6,4,8,8,8,5,4,5,Xiaomi,Online,Cola,Never,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Male,Other towns in North,Student
435,7,9,8,5,10,2,2,3,5,7,2,0,0,6,Xiaomi,Online,Fruit flavour,Never,Less Often,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
436,3,8,3,8,4,0,9,9,7,7,7,8,6,2,One Plus,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Kolkata,Student
437,7,10,5,8,7,3,7,6,8,9,5,2,4,8,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Other towns in East,Student
438,6,8,4,5,8,3,5,1,8,5,4,2,2,5,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
439,8,6,9,10,7,10,6,10,3,3,0,1,10,5,Apple,Retail,Orange,Never,Less Often,Less Often,Less Often,Newspaper,Retail Stores,18-23,Male,Delhi,Student
440,10,10,8,6,5,8,0,0,10,0,0,0,0,9,Samsung,Retail,Fruit flavour,Never,Less Often,Less Often,Everyday,Online,Retail Stores,18-23,Male,Other towns in West,Student
441,8,8,5,8,0,7,4,3,9,9,5,9,8,8,One Plus,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
442,3,3,3,5,3,0,5,9,9,7,4,8,8,4,Apple,Retail,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
443,9,10,6,4,10,2,7,3,7,9,9,10,9,10,One Plus,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
444,5,8,7,6,6,5,7,5,4,5,2,7,5,8,Xiaomi,Online,Fruit flavour,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
445,10,10,4,6,5,6,4,6,3,10,3,2,4,3,Others,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Delhi,Student
446,6,6,8,8,3,5,8,5,6,9,5,3,3,4,One Plus,Online,Fruit flavour,Everyday,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Other towns in North,Student
447,2,9,6,7,10,8,8,4,9,10,5,4,7,2,Apple,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Delhi,Student
448,2,7,3,7,8,4,4,3,7,2,2,3,8,9,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Male,Other towns in North,Student
449,7,9,8,10,5,2,4,10,5,10,4,10,10,5,One Plus,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
